timestamp,ticker,score
2021-01-11,MARA,128
2021-01-11,GM,164
2021-01-12,DASH,139
2021-01-12,PLUG,835
2021-01-12,F,223
2021-01-12,GOEV,666
2021-01-12,FCEL,281
2021-01-12,FUBO,187
2021-01-13,CRSR,401
2021-01-13,ARK,301
2021-01-13,TSM,131
2021-01-13,APHA,233
2021-01-13,SPCE,378
2021-01-13,INTC,294
2021-01-13,GME,11569
2021-01-13,VW,106
2021-01-14,TLRY,478
2021-01-14,RIDE,187
2021-01-14,BB,3687
2021-01-14,BBBY,541
2021-01-14,NOK,115
2021-01-15,AMC,256
2021-01-19,NFLX,616
2021-01-21,TQQQ,124
2021-01-21,AMD,622
2021-01-22,BNGO,246
2021-01-27,SLV,2319
2021-01-27,GE,140
2021-01-27,ZOM,236
2021-01-27,SNDL,1214
2021-01-27,CCL,131
2021-01-27,AAL,216
2021-01-27,AG,213
2021-01-28,JPM,153
2021-01-28,SOFI,1464
2021-01-29,SQ,220
2021-01-29,MU,108
2021-01-29,RKT,251
2021-01-29,NAKD,979
2021-01-30,SPY,1135
2021-01-31,UVXY,100
2021-02-01,WISH,635
2021-02-02,AMZN,440
2021-02-02,SAVA,479
2021-02-02,OCGN,124
2021-02-03,APHA,358
2021-02-03,GME,79970
2021-02-03,SPCE,359
2021-02-04,RIDE,325
2021-02-04,SNAP,128
2021-02-04,VW,896
2021-02-04,PTON,102
2021-02-04,NOK,1154
2021-02-04,CLOV,298
2021-02-05,AMC,8721
2021-02-08,DIS,129
2021-02-08,CLNE,109
2021-02-08,MVIS,116
2021-02-08,MARA,114
2021-02-09,TLRY,1921
2021-02-09,CRSR,666
2021-02-11,SENS,309
2021-02-11,DASH,105
2021-02-11,TSM,210
2021-02-12,RIOT,117
2021-02-17,QS,112
2021-02-17,SNDL,163
2021-02-19,SOS,142
2021-02-21,BA,176
2021-02-22,RKT,284
2021-02-22,CCIV,467
2021-02-22,CCL,208
2021-02-22,AAL,158
2021-02-22,AG,188
2021-02-23,RBLX,104
2021-02-23,QQQ,173
2021-02-23,WKHS,788
2021-02-23,SQ,169
2021-02-24,NAKD,112
2021-02-24,GE,127
2021-02-24,ZOM,124
2021-02-25,GME,74924
2021-02-25,VIX,328
2021-02-25,RIDE,105
2021-02-25,VXX,116
2021-02-25,NOK,1124
2021-02-25,UVXY,147
2021-02-26,OCGN,101
2021-02-26,AMC,7434
2021-03-02,UWMC,2200
2021-03-02,ASO,102
2021-03-02,FUBO,270
2021-03-07,DASH,154
2021-03-07,SPCE,440
2021-03-11,GOEV,124
2021-03-15,RKT,535
2021-03-16,RBLX,139
2021-03-17,PLUG,225
2021-03-18,UPST,181
2021-03-18,RIDE,145
2021-03-23,MSFT,533
2021-03-23,UWMC,158
2021-03-24,SLV,1196
2021-03-24,VW,458
2021-03-26,VIAC,282
2021-03-26,ROOT,132
2021-03-26,FUBO,114
2021-03-28,ARK,307
2021-03-30,ASO,119
2021-03-31,MVIS,440
2021-03-31,CLF,165
2021-04-02,TSM,152
2021-04-07,SOS,145
2021-04-07,PYPL,102
2021-04-07,SQ,143
2021-04-08,RIDE,119
2021-04-11,BABA,207
2021-04-12,NVDA,193
2021-04-13,RBLX,121
2021-04-13,COIN,305
2021-04-15,SPCE,142
2021-04-15,QS,151
2021-04-15,PLUG,188
2021-04-16,CLOV,555
2021-04-20,NFLX,174
2021-04-21,MVIS,1455
2021-04-21,VIAC,255
2021-04-22,PTON,147
2021-04-22,OCGN,197
2021-04-23,NKLA,115
2021-04-23,SKLZ,505
2021-04-24,MNMD,464
2021-04-27,AMD,470
2021-04-27,MSFT,171
2021-04-29,NOK,874
2021-04-30,SLV,129
2021-05-04,CRSR,312
2021-05-04,RKT,804
2021-05-05,ASO,106
2021-05-05,SOS,245
2021-05-06,ARKK,124
2021-05-06,COIN,163
2021-05-06,DKNG,103
2021-05-06,SQ,108
2021-05-07,TLRY,242
2021-05-07,AMZN,661
2021-05-07,CLOV,126
2021-05-08,ARK,102
2021-05-08,BABA,665
2021-05-10,PLTR,1825
2021-05-10,SPCE,113
2021-05-11,FUBO,198
2021-05-11,RBLX,567
2021-05-12,UWMC,542
2021-05-12,VIX,139
2021-05-12,MARA,130
2021-05-13,DIS,104
2021-05-13,AMC,2329
2021-05-17,TSLA,1948
2021-05-18,RIDE,151
2021-05-18,F,100
2021-05-20,MNMD,144
2021-05-21,NVDA,236
2021-05-26,SNDL,317
2021-05-26,BB,811
2021-05-27,NOK,184
2021-05-28,TLRY,395
2021-06-01,ASO,114
2021-06-01,SOFI,104
2021-06-01,SPCE,299
2021-06-02,CLNE,312
2021-06-02,BBBY,297
2021-06-02,CLOV,783
2021-06-02,WKHS,237
2021-06-03,AMC,9924
2021-06-04,SENS,123
2021-06-07,BNGO,238
2021-06-08,RIDE,310
2021-06-08,GOEV,211
2021-06-08,ASTS,207
2021-06-08,WISH,4188
2021-06-08,UWMC,457
2021-06-08,ROOT,113
2021-06-09,SDC,156
2021-06-09,CLF,2290
2021-06-09,RKT,425
2021-06-09,F,168
2021-06-09,GME,7218
2021-06-10,OCGN,152
2021-06-11,CRSR,365
2021-06-14,AMZN,221
2021-06-15,DKNG,768
2021-06-16,BB,1143
2021-06-17,NVDA,218
2021-06-22,PLUG,104
2021-06-23,WKHS,646
2021-06-23,CLOV,1195
2021-06-23,CLNE,359
2021-06-24,TSLA,3056
2021-06-24,PSFE,364
2021-06-25,NOK,311
2021-06-25,SPCE,894
2021-06-25,SOFI,138
2021-06-28,NIO,220
2021-06-28,FB,113
2021-06-28,VIAC,241
2021-06-29,WISH,801
2021-06-30,BBBY,136
2021-06-30,MU,326
2021-06-30,CLF,143
2021-06-30,GOEV,201
2021-06-30,AMD,582
2021-07-05,BABA,274
2021-07-06,AMZN,218
2021-07-07,AAPL,241
2021-07-08,VIX,111
2021-07-12,DIS,108
2021-07-14,NFLX,163
2021-07-14,DKNG,111
2021-07-16,Z,1209
2021-07-16,CRSR,192
2021-07-19,MRNA,178
2021-07-20,NVDA,305
2021-07-21,RBLX,251
2021-07-21,SOFI,447
2021-07-22,MVIS,144
2021-07-22,SNAP,136
2021-07-22,INTC,150
2021-07-23,SPY,863
2021-07-24,LCID,231
2021-07-26,BABA,314
2021-07-26,TSLA,1156
2021-07-26,QQQ,176
2021-07-27,MSFT,236
2021-07-28,AMD,446
2021-07-28,FB,206
2021-07-28,TLRY,602
2021-07-29,AMZN,618
2021-07-29,NOK,246
2021-07-29,NKLA,158
2021-07-30,ARK,156
2021-07-30,MVST,348
2021-07-30,SAVA,127
2021-08-02,SQ,174
2021-08-04,HOOD,718
2021-08-04,GME,2656
2021-08-05,GM,133
2021-08-05,F,175
2021-08-05,VIAC,115
2021-08-09,MRNA,366
2021-08-10,COIN,144
2021-08-10,UPST,380
2021-08-10,PFE,154
2021-08-11,SDC,164
2021-08-12,SOFI,1086
2021-08-12,MU,157
2021-08-12,WISH,1447
2021-08-12,RKT,223
2021-08-12,DIS,153
2021-08-12,PLTR,1059
2021-08-13,UWMC,220
2021-08-13,SPCE,465
2021-08-16,RBLX,106
2021-08-16,ARKK,191
2021-08-16,PSFE,172
2021-08-17,NIO,193
2021-08-18,BABA,392
2021-08-18,SPY,1659
2021-08-19,VIX,114
2021-08-20,AAL,109
2021-08-20,MVST,251
2021-08-20,MSFT,153
2021-08-23,NVDA,311
2021-08-24,INTC,103
2021-08-24,BB,378
2021-08-25,ASTS,205
2021-08-25,GME,2616
2021-08-25,SAVA,103
2021-08-26,PTON,140
2021-08-27,RIDE,101
2021-08-30,ROOT,158
2021-08-30,CRSR,764
2021-08-31,SKLZ,408
2021-09-01,ARK,108
2021-09-01,LCID,155
2021-09-06,CLOV,1230
2021-09-08,SENS,130
2021-09-09,VIX,413
2021-09-09,MVIS,104
2021-09-11,AMZN,1069
2021-09-13,IRNT,316
2021-09-13,TMC,242
2021-09-13,SDC,125
2021-09-14,AAPL,330
2021-09-14,F,161
2021-09-15,MSFT,129
2021-09-16,ASTS,148
2021-09-16,SPX,129
2021-09-19,BABA,391
2021-09-21,WISH,497
2021-09-22,SOFI,382
2021-09-22,FB,105
2021-09-22,BB,456
2021-09-22,GOEV,365
2021-09-22,LCID,450
2021-09-27,CLNE,127
2021-09-30,RIDE,108
2021-09-30,SPCE,159
2021-09-30,BBBY,237
2021-09-30,QQQ,212
2021-10-01,TLRY,107
2021-10-02,GM,462
2021-10-03,TSLA,1097
2021-10-05,PLTR,650
2021-10-05,SDC,345
2021-10-05,MVST,129
2021-10-06,NIO,267
2021-10-07,CRSR,227
2021-10-08,SNDL,318
2021-10-11,CLOV,900
2021-10-12,OCGN,132
2021-10-12,TQQQ,136
2021-10-13,SAVA,230
2021-10-13,SOFI,222
2021-10-15,AMZN,184
2021-10-17,UPST,112
2021-10-18,NFLX,103
2021-10-19,AAPL,196
2021-10-19,BB,700
2021-10-21,INTC,241
2021-10-21,SNAP,380
2021-10-21,FB,210
2021-10-22,CLF,135
2021-10-23,F,132
2021-10-25,TSLA,2237
2021-10-25,DWAC,1015
2021-10-26,HOOD,313
2021-10-26,AMD,334
2021-10-26,MSFT,126
2021-10-26,NVDA,200
2021-10-28,LCID,763
2021-11-01,Z,302
2021-11-01,AAL,125
2021-11-02,OCGN,210
2021-11-02,CRSR,121
2021-11-02,BBBY,420
2021-11-03,SKLZ,104
2021-11-04,DKNG,201
2021-11-04,SQ,118
2021-11-04,SAVA,264
2021-11-04,NKLA,103
2021-11-04,RKT,102
2021-11-04,PTON,553
2021-11-04,MRNA,108
2021-11-05,COIN,127
2021-11-05,PFE,112
2021-11-08,RIOT,130
2021-11-08,RBLX,288
2021-11-08,PYPL,201
2021-11-08,MARA,133
2021-11-08,TLRY,210
2021-11-09,DASH,166
2021-11-09,UPST,257
2021-11-09,PLTR,754
2021-11-09,NIO,120
2021-11-10,SOFI,366
2021-11-10,WISH,698
2021-11-11,ROOT,114
2021-11-11,PSFE,561
2021-11-11,SNDL,266
2021-11-11,GM,130
2021-11-14,SLV,158
2021-11-16,GOEV,232
2021-11-16,NVDA,245
2021-11-16,F,211
2021-11-18,AAPL,239
2021-11-18,BABA,410
2021-11-19,UWMC,341
2021-11-19,LCID,209
2021-11-22,MU,132
2021-11-24,BB,230
2021-11-24,ARK,134
2021-11-26,VIX,171
2021-11-26,MRNA,647
2021-12-01,DKNG,119
2021-12-03,HOOD,178
2021-12-03,ARKK,118
2021-12-06,INTC,143
2021-12-08,GME,1280
2021-12-08,MSFT,659
2021-12-08,DWAC,148
2021-12-09,AMC,472
2021-12-10,AAPL,448
2021-12-13,UWMC,239
2021-12-14,PLTR,2495
2021-12-14,RIDE,358
2021-12-20,MU,111
2021-12-21,BB,278
2021-12-28,HOOD,141
2021-12-29,NIO,167
2021-12-30,RBLX,823
2021-12-30,RIOT,119
2022-01-04,F,707
2022-01-04,AMC,524
2022-01-05,INTC,102
2022-01-06,GME,3598
2022-01-09,ARKK,117
2022-01-10,TLRY,420
2022-01-11,QQQ,318
2022-01-12,DWAC,163
2022-01-13,TSM,183
2022-01-13,SQQQ,109
2022-01-13,SPCE,322
2022-01-13,TQQQ,116
2022-01-13,AA,292
2022-01-13,BB,215
2022-01-13,BYND,143
2022-01-14,SPX,102
2022-01-14,NFLX,162
2022-01-15,WISH,542
2022-01-18,SOFI,576
2022-01-18,ATVI,661
2022-01-18,MSFT,433
2022-01-19,LCID,154
2022-01-19,HOOD,551
2022-01-20,PTON,827
2022-01-20,VIX,293
2022-01-21,AMZN,138
2022-01-23,RIVN,300
2022-01-26,INTC,136
2022-01-27,AAPL,648
2022-01-27,APPL,178
2022-01-29,AMD,670
