window_slug,window_start_utc,capture_utc,sec_left,open_px,spot_at_capture,move_usd,abs_move,signal70,up_ask,down_ask,favored_side,favored_ask,close_px,outcome,favored_win
btc-updown-5m-1781957700,2026-06-20T12:15:00Z,2026-06-20T12:17:46Z,133,63753.9,63750.01,-3.89,3.89,False,0.35,0.66,Down,0.66,63750.0,Down,True
btc-updown-5m-1781958000,2026-06-20T12:20:00Z,2026-06-20T12:22:42Z,138,63750.01,63730.01,-20.0,20.0,False,0.22,0.79,Down,0.79,63752.12,Up,False
btc-updown-5m-1781958300,2026-06-20T12:25:00Z,2026-06-20T12:27:45Z,135,63752.11,63752.19,0.08,0.08,False,0.43,0.58,Up,0.43,63738.72,Down,False
btc-updown-5m-1781958600,2026-06-20T12:30:00Z,2026-06-20T12:32:40Z,139,63738.72,63720.0,-18.72,18.72,False,0.19,0.82,Down,0.82,63689.71,Down,True
btc-updown-5m-1781958900,2026-06-20T12:35:00Z,2026-06-20T12:37:43Z,136,63689.7,63605.4,-84.3,84.3,True,0.02,0.99,Down,0.99,63606.0,Down,True
btc-updown-5m-1781959200,2026-06-20T12:40:00Z,2026-06-20T12:42:46Z,133,63606.0,63615.5,9.5,9.5,False,0.72,0.29,Up,0.72,63625.91,Up,True
btc-updown-5m-1781959500,2026-06-20T12:45:00Z,2026-06-20T12:47:42Z,137,63625.9,63625.98,0.08,0.08,False,0.58,0.43,Up,0.58,63607.96,Down,False
btc-updown-5m-1781959800,2026-06-20T12:50:00Z,2026-06-20T12:52:45Z,134,63607.96,63574.0,-33.96,33.96,False,0.14,0.87,Down,0.87,63593.08,Down,True
btc-updown-5m-1781960100,2026-06-20T12:55:00Z,2026-06-20T12:57:41Z,138,63593.09,63654.65,61.56,61.56,False,0.94,0.07,Up,0.94,63655.09,Up,True
btc-updown-5m-1781960400,2026-06-20T13:00:00Z,2026-06-20T13:02:44Z,135,63655.1,63632.0,-23.1,23.1,False,0.18,0.83,Down,0.83,63627.99,Down,True
